username,map_label,project_code,sampleMedia,combinedID,sampleID,internalSampleID,visitDate,dateAnalTPTN,TN,TP,dateAnalDiss,disNH4,disNO3,disPO4,dateAnalTDPTDN,TDN,TDP,locName,Pool Volume (cu ft),Location Sortable,specific_location,samp_type,notes,samp_notes,y,x,Mean_TP,Max_TP,Min_TP,Mean_TN,Max_TN,Min_TN,Mean_disNH4,Max_disNH4,Min_disNH4,Mean_disNO3,Max_disNO3,Min_disNO3,Mean_disPO4,Max_disPO4,Min_disPO4
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00063,W00063,W00063F,2021-07-30,20210804.0,0.762,0.022,20210803,,0.406124,,,,,Aurand Run downstream,,Aurand Run downstream,Stream ,sample ,"Access Aurand ran off County Road nine large drainage pipe leading into Aurand run. Water is flowing west. Sample taken from center of stream. Both filtered and unfiltered water samples taken. o sediment samples taken because this location on Aurand run is bedrock. The water measurements for this sample can also be used for 63. Tons of vegetation around this access point. We sample directly under the highway. Flow is coming from Aurand run itself, the tile connection at this point looks dry. Velocity of water flow is 0.29 m/s at depth of 0.12 m. At 0.17 m it is the same and at 0.07 m, so it is independent of depth. ",,41.023889,-83.698333,0.0455,0.122,0.016,1.75824,7.272,0.220779,0.05790000000000001,0.1024,0.0279,1.3299103333333333,6.4222,0.094,0.012549999999999999,0.0133,0.0118
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00065,W00065,W00065F,2021-07-30,20210804.0,2.485,0.113,20210803,,0.172362,,,,,Wetland Pool 1,353316.0,Wetland Pool 01,"West end, 3 ft from edge of west side ",sample ,"Tons of vegetation around pool, as high as my head. Depth increases rapidly once entering the pool. The line where the pool begins is not clear, the water extends into the vegetation. ",,41.024167,-83.696667,0.18638709677419354,0.791,0.009,2.3716120344827583,11.94,0.014,0.34228888888888886,2.2689,0.0116,0.4273170294117647,8.0644,0.017,0.030720000000000004,0.081,0.0013
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00067,W00067,W00067F,2021-07-30,20210804.0,0.757,0.011,20210803,,0.378045,,,,,Aurand Run connection to P1,,Aurand Run connection to P1,Middle of stream ,sample ,Aurand run appeared to be flowing slowly and calmly. Was not backing up into pool 1. Flow here was .13 m/s. ,,41.023611,-83.695834,0.11739999999999999,0.45,0.011,2.7123605454545454,11.79,0.21334,0.0736,0.2631,0.0144,2.1385950000000005,9.3702,0.1076,0.07723333333333333,0.16,0.0144
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00069,W00069,W00069F ,2021-07-30,20210804.0,2.339,0.105,20210803,,0.170217,,,,,Wetland Pool 1,353316.0,Wetland Pool 01,"We are on the east side, 290 degrees west from the center ",sample,"Vegetation was grown into the pool so it is a very undefined edge. The samples were taken directly inside the end of the vegetation. No soil sample taken at this site, whole area was flooded ",,41.024167,-83.695833,0.18638709677419354,0.791,0.009,2.3716120344827583,11.94,0.014,0.34228888888888886,2.2689,0.0116,0.4273170294117647,8.0644,0.017,0.030720000000000004,0.081,0.0013
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00071,W00071,W00071F,2021-07-30,20210804.0,1.972,0.152,20210803,,0.188591,0.054216,,,,Wetland Pool 2,7383.0,Wetland Pool 02,3 ft from where water starts and 75 degrees East from what appears to be the center ,sample ,,,41.024167,-83.695,0.2728333333333333,0.69,0.056,2.7486666666666664,6.268,0.69,0.032,0.033,0.031,0.13154775,0.188591,0.0594,0.035108,0.054216,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00074,W00074,W00074F,2021-07-30,20210804.0,1.004,0.054,20210803,,0.166595,,,,,Wetland Pool 20,5000.0,Wetland Pool 20,5 degrees north facing center of pool ,replicate ,"Width of pool was not possible, this pool is almost completely filled with foliage that is over 5 ft tall. There’s plenty of standing water around the pool, we are accessing the pool from the south end. Even though there was lots of vegetation, once in the middle of the pool, the water was pretty shallow and easy to walk through ",,41.023611,-83.688056,0.47733333333333333,1.049,0.054,0.7924,1.665,0.12,0.0356,0.0356,0.0356,0.08742055363636364,0.166595,0.0126,0.46295,0.9025,0.0234
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00076,W00076,W00076F,2021-07-30,20210804.0,1.176,0.084,20210803,,0.164269,,,,,Wetland Pool 18,19452.0,Wetland Pool 18,"Taken about 1 m in from start of vegetation, Southeast corner of the pool ",replicate ,,,41.023611,-83.689722,0.09984615384615385,0.261,0.04,1.4081614615384614,2.537,0.484,0.12544,0.3864,0.0307,0.113521125,0.174,0.01,0.0682,0.169,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00078,W00078,W00078F,2021-07-30,20210804.0,1.613,0.08,20210803,,0.681067,,,,,Wetland Pool 14,4000.0,Wetland Pool 14,"338 north facing towards center, we are in the southeast corner ",replicate ,Southeast corner of pool ,,41.024444,-83.689722,0.28025,0.884,0.072,2.4282500000000002,6.487,0.78,0.04173333333333334,0.075,0.0194,0.280889,0.681067,0.0673,0.019549999999999998,0.0264,0.0127
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00080,W00080,W00080F,2021-07-30,20210804.0,0.941,0.042,20210803,,0.158405,,,,,Wetland Pool 22,15000.0,Wetland Pool 22,"Southeast corner, About 2 m in the sample was taken ",replicate ,"Much vegetation In this area, very muddy. ",,41.024722,-83.687222,0.17833333333333334,0.456,0.036,1.7066666666666663,5.18,0.704,0.051500000000000004,0.058,0.045,0.165781,0.4992,0.0433,0.1558,0.1558,0.1558
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00082,W00082,W00082F,2021-07-30,20210804.0,1.246,0.047,20210803,,0.158084,,,,,Wetland Pool 38,15000.0,Wetland Pool 38,"Southwest corner, 35 degrees northeast facing the center, About 3 m into start of water ",replicate ,Pool is filled with sedge meadow mix but access is possible and growth is not as high as other pools. Water inundation surrounding the pool was not as bad as other pools,,41.026389,-83.681944,0.16716666666666669,0.275,0.036,2.4038666666666666,4.97,0.688,0.0737,0.1434,0.004,0.0903168,0.158084,0.0433,0.08995,0.1057,0.0742
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00084,W00084,W00084F,2021-07-30,20210804.0,1.955,0.074,20210803,,0.171317,,,,,Wetland Pool 37,10000.0,Wetland Pool 37,"Southeast corner, 305 northwest facing the center ",replicate ,"We are noticing some scum on the top of this water, it is greenish in color. ",,41.026111,-83.681944,0.0912,0.273,0.02,2.1038,6.122,0.63,,,,0.08722339999999999,0.171317,0.0403,0.0116,0.0116,0.0116
midden_BGSU,20-21,OAKWE,water,OAKWE_20210730_W00086,W00086,W00086F,2021-07-30,20210804.0,1.379,0.044,20210803,,0.159463,,,,,Wetland Pool 40,126000.0,Wetland Pool 40,"Northeast corner, 240 southwest facing the center ",replicate ,"The edges of this pool have some green scum, water extends past the vegetation about 10 feet. ",,41.024722,-83.685,0.08807407407407408,0.478,0.02,1.3274607407407406,2.716,0.88,0.045540000000000004,0.0634,0.0212,0.0747351875,0.159463,0.0227,0.0107,0.0107,0.0107
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00144,W00144,OW-ARU,2021-08-27,20210831.0,0.817,,20210902,0.0413,0.0979,,,,,Aurand Run upstream,,Aurand Run upstream,Near bridge,sample,Flow in deeper pool 0.013 m/s in narrow section ~3 ft wide: ~0.1 m/s,,41.0194289,-83.68823689,0.039,0.104,0.012,3.079126,15.57,0.272056,0.0908625,0.2311,0.0175,2.8381375,13.9452,0.0979,0.0236,0.0236,0.0236
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00145,W00145,OW-ARC,2021-08-27,20210831.0,1.509,0.018,20210902,0.0144,0.1609,0.0573,,,,Aurand Run connection to P1,,Aurand Run connection to P1,Connection to P1,sample,,,41.02349886,-83.69613139,0.11739999999999999,0.45,0.011,2.7123605454545454,11.79,0.21334,0.0736,0.2631,0.0144,2.1385950000000005,9.3702,0.1076,0.07723333333333333,0.16,0.0144
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00146,W00146,OW-ARD,2021-08-27,20210831.0,0.982,0.022,20210902,,0.1214,,,,,Aurand Run downstream,,Aurand Run downstream,Near bridge,sample,,,41.02381243,-83.69830105,0.0455,0.122,0.016,1.75824,7.272,0.220779,0.05790000000000001,0.1024,0.0279,1.3299103333333333,6.4222,0.094,0.012549999999999999,0.0133,0.0118
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00147,W00147,OW-P01,2021-08-27,20210831.0,3.237,0.182,20210902,,,,,,,Wetland Pool 1,353316.0,Wetland Pool 01,West side,sample,This is deepest pool,,41.02413249,-83.69677361,0.18638709677419354,0.791,0.009,2.3716120344827583,11.94,0.014,0.34228888888888886,2.2689,0.0116,0.4273170294117647,8.0644,0.017,0.030720000000000004,0.081,0.0013
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00148,W00148,OW-P02,2021-08-27,20210831.0,5.075,0.449,20210902,,0.078,0.0013,,,,Wetland Pool 1,353316.0,Wetland Pool 01,Edge,sample,This was originally identified as P2 but GIS coordinates show it is instead a small pool that is part of the larger area of P1. Nearly full of vegetation,,41.02448432,-83.69568438,0.18638709677419354,0.791,0.009,2.3716120344827583,11.94,0.014,0.34228888888888886,2.2689,0.0116,0.4273170294117647,8.0644,0.017,0.030720000000000004,0.081,0.0013
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00149,W00149,OW-P04,2021-08-27,20210831.0,2.536,0.142,20210902,0.1956,,0.0323,,,,Wetland Pool 4,49146.0,Wetland Pool 04,Edge,sample,Very large pool,,41.02356336,-83.69422241,0.15163636363636362,0.445,0.054,1.877506818181818,4.471,0.416,0.09705,0.1956,0.0267,0.13835,0.1732,0.0922,0.03106666666666667,0.0435,0.0174
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00150,W00150,OW-P05,2021-08-27,20210831.0,5.152,0.268,20210902,0.2551,0.05,0.0176,,,,Wetland Pool 5,4000.0,Wetland Pool 05,Edge,sample,,,41.02322762,-83.69357667,0.3196666666666667,0.626,0.065,3.705,5.204,0.759,0.2551,0.2551,0.2551,0.056600000000000004,0.0664,0.05,0.0176,0.0176,0.0176
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00151,W00151,OW-P06,2021-08-27,20210831.0,5.332,0.69,20210902,,0.1556,,,,,Wetland Pool 2,7383.0,Wetland Pool 02,Edge,sample,"Not sure this is P6-It's not, it's P2. This assignment was changed based on GIS coordinates.",,41.02421124,-83.69477386,0.2728333333333333,0.69,0.056,2.7486666666666664,6.268,0.69,0.032,0.033,0.031,0.13154775,0.188591,0.0594,0.035108,0.054216,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00152,W00152,OW-P07,2021-08-27,20210831.0,2.134,0.154,20210902,,0.0504,,,,,Wetland Pool 7,9620.0,Wetland Pool 07,Edge,sample,Shallow and full of vegetation,,41.0241892,-83.69267402,0.091,0.154,0.028,1.3904999999999998,2.134,0.647,,,,0.08605,0.1217,0.0504,,,
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00153,W00153,OW-P08,2021-08-27,20210831.0,2.463,0.15,20210902,,,0.0772,,,,Wetland Pool 8,6000.0,Wetland Pool 08,Edge,sample,Green moss on surface. Different from other pools,,41.02369391,-83.69275566,0.3268333333333333,1.16,0.06,2.8573513333333334,6.46,0.504,1.2161,1.2161,1.2161,0.112525,0.1758,0.0502,0.09143333333333332,0.1776,0.0195
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00154,W00154,OW-P09,2021-08-27,20210831.0,3.474,0.444,20210902,,0.0503,,,,,Wetland Pool 9,52478.0,Wetland Pool 09,Edge,sample,Unfiltered ,,41.02315881,-83.69262599,0.22999999999999998,0.444,0.108,2.2430332,4.26,0.699,0.2761,0.2947,0.2575,0.11418333333333335,0.1742,0.0503,0.0169,0.0169,0.0169
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00155,W00155,OW-P11,2021-08-27,20210831.0,2.965,0.128,20210902,,,,,,,Wetland Pool 11,4000.0,Wetland Pool 11,Edge,sample,Unfiltered ,,41.02355343,-83.69212492,0.11866666666666666,0.14,0.088,1.515,2.965,0.74,,,,0.1391,0.1422,0.136,0.0334,0.0334,0.0334
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00156,W00156,OW-P12,2021-08-27,20210831.0,1.953,0.159,20210902,,0.0564,,,,,Wetland Pool 12,12750.0,Wetland Pool 12,Edge,sample,Unfiltered. Some green miss like previous pool. ,,41.02409838,-83.69212031,0.36588888888888893,1.503,0.05,3.307778,12.95108,0.559,0.598,1.1857,0.0103,0.1022,0.1887,0.037,0.0148,0.0161,0.0135
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00157,W00157,OW-P15,2021-08-27,20210831.0,2.712,0.157,20210902,,0.0616,,,,,Wetland Pool 15,19500.0,Wetland Pool 15,Center,sample,Unfiltered ,,41.02321601,-83.69100753,0.159,0.286,0.034,2.1286666666666667,3.085,0.589,0.067,0.067,0.067,0.06163333333333334,0.0629,0.0604,0.0228,0.0228,0.0228
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00158,W00158,OW-P16,2021-08-27,20210831.0,1.858,0.157,20210902,,0.0278,,,,,Wetland Pool 16,4000.0,Wetland Pool 16,Edge,sample,Unfiltered ,,41.02300081,-83.69078156,0.1,0.157,0.043,1.3365,1.858,0.815,,,,0.041249999999999995,0.0547,0.0278,,,
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00159,W00159,OW-P18,2021-08-27,20210831.0,1.789,0.077,20210902,,0.0629,,,,,Wetland Pool 18,19452.0,Wetland Pool 18,Edge,sample,"Chad says this has always been different, muddier, no vegetation in center even though it is shallow, no apparent reason. Unfiltered ",,41.02370707,-83.68975771,0.09984615384615385,0.261,0.04,1.4081614615384614,2.537,0.484,0.12544,0.3864,0.0307,0.113521125,0.174,0.01,0.0682,0.169,0.016
midden_BGSU,20-21,OAKWE,water,OAKWE_20210827_W00160,W00160,OW-P19,2021-08-27,20210831.0,0.124,0.078,20210902,,0.0246,,,,,Wetland Pool 19,11124.0,Wetland Pool 19,Edge,sample,Large open water area no green moss unfiltered ,,41.02319657,-83.69016222,0.17655555555555558,0.642,0.02,2.048147888888889,5.231225,0.124,0.6717,0.6717,0.6717,0.12080000000000002,0.2136,0.0246,0.0145,0.0145,0.0145
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00170,W00224,W00170,2021-09-27,20211010.0,0.794,0.077,20211004,,0.0721,0.0269,,,,Wetland Pool 25,15000.0,Wetland Pool 25,,sample,,,41.02390098,-83.68448909,0.18185714285714286,0.598,0.06,1.4995155714285713,3.365,0.68,0.07935,0.138,0.0207,0.0902,0.1227,0.0721,0.0453,0.133,0.0105
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00171,W00225,W00171,2021-09-27,20211010.0,0.744,0.292,20211004,,0.0592,0.2369,,,,Wetland Pool 24,10000.0,Wetland Pool 24,,sample,,,41.02405651,-83.68568947,0.22699999999999998,0.292,0.162,2.4684999999999997,4.193,0.744,,,,0.058550000000000005,0.0592,0.0579,0.12405,0.2369,0.0112
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00172,W00226,W00172,2021-09-27,20211010.0,0.875,0.216,20211004,,0.0938,0.0614,,,,Wetland Pool 21,14085.0,Wetland Pool 21,,sample,,,41.02370744,-83.68666368,0.11139999999999999,0.216,0.055,1.4663976,2.385,0.734,,,,0.0655,0.0938,0.0445,0.0614,0.0614,0.0614
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00173,W00227,W00173,2021-09-27,20211010.0,1.291,0.074,20211004,,0.0717,0.0225,,,,Wetland Pool 39,30000.0,Wetland Pool 39,,sample,,,41.02402001,-83.68734959,0.10725,0.32,0.025,1.605461625,2.687,0.51,0.0147,0.0147,0.0147,0.0715,0.1173,0.0255,0.018866666666666667,0.0225,0.0121
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00174,W00228,W00174,2021-09-27,20211010.0,1.003,1.049,20211004,,0.0547,0.9025,,,,Wetland Pool 20,5000.0,Wetland Pool 20,,sample,No open water. Dense tall vegetation,,41.02363578,-83.68799089,0.47733333333333333,1.049,0.054,0.7924,1.665,0.12,0.0356,0.0356,0.0356,0.08742055363636364,0.166595,0.0126,0.46295,0.9025,0.0234
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00175,W00229,W00175,2021-09-27,20211010.0,0.704,0.232,20211004,,0.0741,0.1558,,,,Wetland Pool 22,15000.0,Wetland Pool 22,,sample,,,41.02485417,-83.6876572,0.17833333333333334,0.456,0.036,1.7066666666666663,5.18,0.704,0.051500000000000004,0.058,0.045,0.165781,0.4992,0.0433,0.1558,0.1558,0.1558
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00177,W00230,W00177,2021-09-27,20211010.0,1.039,0.041,20211004,,0.0807,,,,,Wetland Pool 40,126000.0,Wetland Pool 40,Edge,sample,,,41.0245559,-83.68602407,0.08807407407407408,0.478,0.02,1.3274607407407406,2.716,0.88,0.045540000000000004,0.0634,0.0212,0.0747351875,0.159463,0.0227,0.0107,0.0107,0.0107
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00178,W00231,W00178,2021-09-27,20211010.0,1.18,0.185,20211004,,0.0627,0.0577,,,,Wetland Pool 41,10000.0,Wetland Pool 41,,sample,,,41.02517453,-83.68597018,0.56875,1.0,0.135,5.76075375,10.538,1.18,,,,0.0732,0.0837,0.0627,0.0577,0.0577,0.0577
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00179,W00232,W00179,2021-09-27,20211010.0,1.042,0.116,20211004,,0.0558,,,,,Wetland Pool 30,20000.0,Wetland Pool 30,,sample,,,41.02551421,-83.6863052,0.1769090909090909,0.851,0.03,2.2388654545454547,8.23239,0.54,0.44480000000000003,0.8675,0.0221,0.1876125,0.8054,0.0545,0.0763,0.1181,0.0345
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00180,W00233,W00180,2021-09-27,20211010.0,0.896,0.209,20211004,,0.0648,0.0849,,,,Wetland Pool 29,30000.0,Wetland Pool 29,,sample,,,41.02547506,-83.68677568,0.6738333333333334,1.555,0.209,5.941913166666667,11.10326,0.896,0.2526,0.2526,0.2526,0.0674,0.07,0.0648,0.0402,0.0849,0.0115
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00181,W00234,W00181,2021-09-27,20211010.0,0.924,0.412,20211004,,0.0928,0.2963,,,,Wetland Pool 28,10000.0,Wetland Pool 28,,sample,,,41.02573302,-83.68745159,0.36566666666666664,0.486,0.199,4.214199,6.665597,0.924,,,,0.07164999999999999,0.0928,0.0505,0.2963,0.2963,0.2963
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00182,W00235,W00182,2021-09-27,20211010.0,0.728,0.141,20211004,,0.0565,0.0586,,,,Wetland Pool 31,10000.0,Wetland Pool 31,,sample,Daylighted tile drains into this. Dense plants,,41.0257497,-83.68536039,0.24428571428571427,0.485,0.03,2.6817724285714286,6.763,0.728,0.08526666666666666,0.1732,0.0225,0.09945,0.1544,0.0565,0.0386,0.0586,0.0104
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00183,W00236,W00183,2021-09-27,20211010.0,0.627,0.051,20211004,,0.0462,0.0214,,,,Wetland Pool 42,15000.0,Wetland Pool 42,,sample,,,41.02605173,-83.68478676,0.3547272727272727,1.655,0.05,3.3046794545454548,13.304,0.627,0.039575,0.0857,0.0122,0.09614285714285715,0.1488,0.0462,0.07243333333333334,0.1044,0.0214
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00184,W00237,W00184,2021-09-27,20211010.0,0.684,0.152,20211004,,0.0579,0.1095,,,,Wetland Pool 36,5000.0,Wetland Pool 36,,sample,,,41.02660042,-83.68445825,0.2032,0.36,0.02,1.7152,5.31,0.67,1.9395,1.9395,1.9395,0.21642,0.5743,0.0526,0.148,0.1759,0.1095
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00185,W00238,W00185,2021-09-27,20211010.0,0.875,0.129,20211004,,0.0573,0.0657,,,,Wetland Pool 35,26318.0,Wetland Pool 35,,sample,,,41.02641342,-83.68312695,0.141875,0.28,0.054,1.933630125,3.1,0.875,0.1732,0.1732,0.1732,0.07195,0.116,0.0463,0.0657,0.0657,0.0657
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00186,W00239,W00186,2021-09-27,20211010.0,1.169,0.053,20211004,,0.0534,0.0116,,,,Wetland Pool 37,10000.0,Wetland Pool 37,,sample,,,41.0270377,-83.68223537,0.0912,0.273,0.02,2.1038,6.122,0.63,,,,0.08722339999999999,0.171317,0.0403,0.0116,0.0116,0.0116
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00187,W00240,W00187,2021-09-27,20211010.0,1.119,0.133,20211004,,0.0566,0.0742,,,,Wetland Pool 38,15000.0,Wetland Pool 38,,sample,,,41.02656899,-83.68176523,0.16716666666666669,0.275,0.036,2.4038666666666666,4.97,0.688,0.0737,0.1434,0.004,0.0903168,0.158084,0.0433,0.08995,0.1057,0.0742
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00188,W00241,W00188,2021-09-27,20211010.0,1.024,0.028,20211004,,0.0565,,,,,Wetland Pool 34,15000.0,Wetland Pool 34,,sample,,,41.02588699,-83.68233629,0.12322222222222222,0.21,0.028,2.1979314444444444,3.466,0.9,0.12476666666666665,0.2054,0.0273,0.08424000000000001,0.1248,0.0507,,,
midden_BGSU,20-21,OAKWE,water,OAKWE_20210927_W00189,W00242,W00189,2021-09-27,20211010.0,0.938,0.165,20211004,,0.0465,0.059,,,,Wetland Pool 33,10000.0,Wetland Pool 33,,sample,,,41.02544057,-83.68251314,0.3428,0.831,0.1,3.5404494,7.08,0.938,,,,0.0684,0.0997,0.0465,0.0389,0.059,0.0188
